prefLabel (English),Translation prefLabel (Spanish),Identifier,altLabel (English),Translation altLabel (Spanish),Description/Scope Note (English),Description/Scope Note (Spanish),translationNote,historyNote (English),historyNote (Spanish),"Comments (Ernesto, postdoc)"
Aboriginal Australian LGBTQ+ people,Personas LGBTQ+ aborígenes australianas ,homoit0000002,"Aboriginal Australian people (LGBTQ)||
Aboriginal people (LGBTQ)||
LGBTQ+ Aboriginal Australian people||
LGBTQ+ Aboriginal Australians||
LGBTQ+ Aboriginal people||
LGBTQ+ Aboriginals","Personas aborígenes australianas (LGBTQ)|| 
Personas aborígenes (LGBTQ)|| 
Aborígenes australianos LGBTQ+|| 
Aborígenes LGBTQ+|| 
Personas aborígenes australianas LGBTQ+","LGBTQ+ people who belong to one or more of the various Indigenous peoples of Australia; do not use to refer to the Indigenous people of the Torres Strait Islands, who are considered ethnically and culturally distinct. Only use to describe people who identify as Aboriginal Australian.","Personas LGBTQ+ que pertenecen a uno o más de los diversos pueblos indígenas de Australia; no para referirse a los pueblos indígenas de las Islas del Estrecho de Torres, que se consideran étnica y culturalmente distintos. Utilícese únicamente para describir a las personas que se autoidentifiquen como aborígenes australianos.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","See 2 comments to SN ""Aboriginal Australian asexual people"" (ROW 7)

--> Add altLabel ES ""Aborígenes australianas LGBTQ+"" [FGG]"
Aboriginal Australian queer people,Personas queer aborígenes australianas,homoit0001978,"Aboriginal queer people||
Queer Aboriginal Australian people||
Queer Aboriginal Australians","Personas aborígenes australianas queer|| 
Aborígenes australianos queer||
Aborígenes australianas queer ","Queer people who belong to one or more of the various Indigenous peoples of Australia; do not use to refer to the Indigenous people of the Torres Strait Islands, who are considered ethnically and culturally distinct. Only use to describe people who identify as Aboriginal Australian.","Personas queer que pertenecen a uno o más de los diversos pueblos indígenas de Australia; no para referirse a los pueblos indígenas de las Islas del Estrecho de Torres, que se consideran étnica y culturalmente distintos. Utilícese únicamente para describir a las personas que se autoidentifiquen como aborígenes australianos.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","See 2 comments to SN ""Aboriginal Australian asexual people"" (ROW 7)

--> altLabels ES ""cuir"" [Spell]"
Aboriginal Australian transgender people,Personas transgénero aborígenes australianas ,homoit0001977,"Aboriginal transgender people||
Transgender Aboriginal Australian people||
Transgender Aboriginal Australians","Personas transgénero aborígenes|| 
Personas aborígenes australianas transgénero|| 
Aborígenes australianos transgénero||
Aborígenes australianas transgénero||  
Personas transgénero aborígenes australianas","Transgender people who belong to one or more of the various Indigenous peoples of Australia; do not use to refer to the Indigenous people of the Torres Strait Islands, who are considered ethnically and culturally distinct. Only use to describe people who identify as Aboriginal Australian.","Personas transgenero que pertenecen a uno o más de los diversos pueblos indígenas de Australia; no para referirse a los pueblos indígenas de las Islas del Estrecho de Torres, que se consideran étnica y culturalmente distintos. Utilícese únicamente para describir a las personas que se autoidentifiquen como aborígenes australianos.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","See 2 comments to SN ""Aboriginal Australian asexual people"" (ROW 7)

In altLabel EN:
Change ""Aboriginal transgender people"" to ""Aboriginal Australian transgender people""  
>>>>

in altLabel ES:
""Personas transgénero aborígenes australianas""
"
Acault,Acault,homoit0000003,,,A commonly mistranslated Burmese term for people assigned male at birth who exhibit feminine behaviors while serving as spiritual mediums; there is some question over the legitimacy of term.,"Un término birmano, comúnmente mal traducido, para personas asignadas al sexo masculino al nacer que exhiben comportamientos femeninos mientras sirven como médiums espirituales; existen dudas sobre la legitimidad del término.",,"Although non-English terms are typically assigned language labels indicating the language they originate from, the term ""Acault"" has been assigned the English language label because it is a mistranslated version of a Burmese term.","Aunque a los términos que no son del inglés se les suelen asignar etiquetas lingüísticas que indican la lengua de la que proceden, al término ""Acault"" se le ha asignado la etiqueta de inglés porque es una versión mal traducida de un término birmano.","The historyNote in Spanish is not a translation from the English original. It should look like this:

""Aunque a los términos que no son del inglés se les suelen asignar etiquetas lingüísticas que indican la lengua de la que proceden, al término ""Acault"" se le ha asignado la etiqueta de inglés porque es una versión mal traducida de un término birmano.""

In the SN I suggest to change ""para personas asignadas sexo masculino"" to ""para personas asignadas al sexo masculino..."" [preposition]"
Actorfic,Actorfic,homoit0002142,"Actor fanfic||
Actor fic","Actor fanfic||
Actor fic","Fanfiction that focuses on, incorporates, or details the relationships of real-life actors, often of the same sex or gender.","Fanfiction que se centra, incorpora o detalla las relaciones de actores de la vida real, a menudo del mismo sexo o género.",,,,"I suggest to drop ""sobre"" in SN, because having a preposition at the end of a clause is highly improbable in Spanish."
Adopted LGBTQ+ people,Personas LGBTQ+ adoptadas,homoit0002336,"Adopted people (LGBTQ)||
LGBTQ+ adopted people",Personas adoptadas (LGBTQ) ,"LGBTQ+ people who were adopted, whether or not by LGBTQ+ parents.","Personas LGBTQ+ que fueron adoptadas, ya sea o no por padres LGBTQ+",,,,"""Xadre"" entails the same semantic ambiguity as other Spanish terms with the -x ending: either includes all genders or it refers to non-binary individuals. It probably will get more popular, but in my experience is rather very exceptional. I suggest to include it anyways.

OJO: Why the altLabels in English present ""LGBTQ"" in parenthesis? "
Adoptive parenthood,Maternidad adoptiva / Paternidad adoptiva,homoit0000009,,"Maternidad adoptiva||
Paternidad adoptiva",The experience of being an adoptive parent to a child or children. An adoptive parent is the person or persons who become permanent parents through adoption with all the responsibilities therein.,La experiencia de ser madre adoptiva o padre adoptivo de un(a) niño(a) o niños(as). Es la persona o las personas que se convierten en madres o padres permanentes mediante la adopción con todas las responsabilidades que ello implica.,,,,"I agree with including ""maternidad"" and ""madre adoptiva"". The Spanish scope note would look like this (I omitted ""Un padre adoptativo"" in the second sentence, Spanish language allows to drop sentences subject):
prefLabel ES: ""Maternidad adoptiva/Paternidad adoptiva""
SN: ""La experiencia de ser madre adoptiva o padre adoptivo de un(a) niño(a) o niños(as). Es la persona o las personas que se convierten en madres o padres permanentes mediante la adopción con todas las responsabilidades que ello implica."""
Adoptive parents,Madres y padres adoptivos ,homoit0000010,,"Padres adoptivos|| 
Madres adoptivas","People who have adopted children, either legally or through a social/cultural practice.","Personas que han adoptado niños, ya sea legalmente o a través de una practica sociocultural.",,,,"I propose as prefLabel ES ""Madres adoptivas/padres adoptivos"". We can discuss the possibility to include ""Xadres"" too.

OJO: Any alternative to MGG ""niños""?"
Ae/Aer/Aerself (Pronouns),,,"Ae (Pronouns)||
Ae/Aer/Aerself",,A set of pronouns. Used in this manner: Ae went to the Homosaurus website. I watched aer browse the Homosaurus. Ae uses the Homosaurus aerself.,,,,,
African American asexual people,Personas asexuales afroamericanas,homoit0002335,"African American ace people||
Asexual African American people||
Asexual African Americans","Afroamericanos asexuales|| 
Afroamericanos ace|| 
Afroamericanas asexuales|| 
Afroamericanas ace|| 
Personas ace afroamericanas|| 
Personas afroamericanas asexuales",Asexual people of African descent born in the United States or asexual people born in African countries who live in or have a strong connection to the United States. Use for individuals who self-identity as African American. Follow the individual’s preference for African American or Black whenever possible.,Personas asexuales de ascendencia africana nacidas en los Estados Unidos o personas asexuales nacidas en países africanos que viven o tienen una conexión fuerte con los Estados Unidos. Utilícese para personas que se autoidentifiquen como afroamericanas.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","It seems that the purple font sentence ""Follow the individual’s preference for African American or Black whenever possible"" was added to all AA__ prefLabels EN. So, I suggest to include the following translation in the Spanish scope note: ""Siga la preferencia de la persona por usar afroamericana/o o negra/o siempre que sea posible"".
We can discuss the possibility to add ""x"" in the endings, like ""negra/o/e"".

In SN, change ""Africanos"" to ""africanos"" and ""Africana"" to ""africana"" [Spell], apply to ROWS 21 thru 60

I'm not very sure if ""ace"" is a slang term in Spanish for asexual people."
African American bisexual people,Personas bisexuales afroamericanas,homoit0000123,"Bisexual African American people||
Bisexual African Americans","Afroamericanos bisexuales|| 
Bisexuales afroamericanos||
Afroamericanas bisexuales|| 
Bisexuales afroamericanas    ",Bisexual people of African descent born in the United States or bisexual people born in African countries who live in or have a strong connection to the United States. Use for individuals who self-identity as African American. Follow the individual’s preference for African American or Black whenever possible.,Personas bisexuales de ascendencia africana nacidas en los Estados Unidos o personas bisexuales nacidas en países africanos que viven o tienen una conexión fuerte con los Estados Unidos. Utilícese para personas que se autoidentifiquen como afroamericanas.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","--> Add [FGG] in altLabels ES

"
African American gay men,Hombres gay afroamericanos,homoit0000463,"Gay African American people||
Gay African Americans",Afroamericanos gay|| ,Gay men of African descent born in the United States or gay men born in African countries who live in or have a strong connection to the United States. Use for individuals who self-identity as African American. Follow the individual’s preference for African American or Black whenever possible.,Hombres gay de ascendencia africana nacidos en los Estados Unidos o hombres gay nacidos en países africanos que viven o tienen una conexión fuerte con los Estados Unidos. Utilícese para personas que se autoidentifiquen como afroamericanas.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","--> Use ""gays"" [Spell] in SN, prefLabel, and altLabel ES. 

--> I'd drop altLabel ES ""personas afroamericanas gay"", because ""personas"" is gender neutral noun and the English original term is ""gay men"", that is, it refers only to men."
African American intersex people,Personas intersexuales afroamericanas,homoit0002935,"Intersex African American people||
Intersex African Americans","Afroamericanos intersex|| 
Intersex afroamericanos||
Afroamericanas intersex|| 
Intersex afroamericanas||  
Personas intersex afroamericanas",Intersex people of African descent born in the United States or intersex people born in African countries who live in or have a strong connection to the United States. Use for individuals who self-identity as African American. Follow the individual’s preference for African American or Black whenever possible.,Personas intersexuales de ascendencia africana nacidas en los Estados Unidos o personas intersex nacidas en países africanos que viven o tienen una conexión fuerte con los Estados Unidos. Utilícese para personas que se autoidentifiquen como afroamericanas.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","--> In SN, prefLabel and altLabels ES, I prefer ""intersexuales"" over ""intersex"".

--> Add [FGG] in altLabels ES
"
African American lesbians,Lesbianas afroamericanas,homoit0000714,Lesbian African Americans,Afroamericanas lesbianas,Lesbians of African descent born in the United States or lesbians born in African countries who live in or have a strong connection to the United States. Use for individuals who self-identity as African American. Follow the individual’s preference for African American or Black whenever possible.,Lesbianas de ascendencia africana nacidas en los Estados Unidos o nacidas en países africanos que viven o tienen una fuerte conexión con los Estados Unidos. Utilícese para personas que se autoidentifiquen como afroamericanas.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).",OJO: prefLabel & altLabel ES are identical.
African American LGBTQ+ people,Personas LGBTQ+ afroamericanas,homoit0000015,"African Americans (LGBTQ)||
LGBTQ+ African American people||
LGBTQ+ African Americans","Afroamericanos (LGBTQ)||
Afroamericanas (LGBTQ)|| 
Personas afroamericanas LGBTQ+|| 
Afroamericanos LGBTQ+||
Afroamericanas LGBTQ+",African American people who are also LGBTQ+; do not use for people of color broadly; follow the individual's preference for African American or Black whenever possible.,Personas LGBTQ+ de ascendencia africana nacidas en los Estados Unidos o personas LGBTQ+ nacidas en países africanos que viven o tienen una conexión fuerte con los Estados Unidos. Utilícese para personas que se autoidentifiquen como afroamericanas.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","--> Add [FGG] in altLabels ES

"
African American queer people,Personas queer afroamericanas ,homoit0001151,"Queer African American people||
Queer African Americans","Afroamericanos queer|| 
Queers afroamericanos||
Afroamericanas queer|| 
Queers afroamericanas",Queer people of African descent born in the United States or queer people born in African countries who live in or have a strong connection to the United States. Use for individuals who self-identity as African American. Follow the individual’s preference for African American or Black whenever possible.,Personas queer de ascendencia africana nacidas en los Estados Unidos o personas queer nacidas en países africanos que viven o tienen una conexión fuerte con los Estados Unidos. Utilícese para personas que se autoidentifiquen como afroamericanas.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","--> In altLabel ES, we better stick only to ""afroamericanos queer"", because plural form ""queers"" is rather exceptional in Spanish, so we should drop ""queers afroamericanos""

--> Add [FGG] in altLabels ES
"
African American transgender people,Personas transgénero afroamericanas,homoit0001384,"Transgender African American people||
Transgender African Americans","Afroamericanos transgénero||
Afroamericanas transgénero ",Transgender people of African descent born in the United States or transgender people born in African countries who live in or have a strong connection to the United States. Use for individuals who self-identity as African American. Follow the individual’s preference for African American or Black whenever possible.,Personas transgénero de ascendencia africana nacidas en los Estados Unidos o personas transgénero nacidas en países africanos que viven o tienen una conexión fuerte con los Estados Unidos. Utilícese para personas que se autoidentifiquen como afroamericanas.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","--> In altLabel ES, we better stick only to ""afroamericanos transgénero"", because plural form ""transgénero"" is rather exceptional in Spanish, so we should drop ""transgéneros afroamericanos"""
Afro-Canadian asexual people,Afrocanadienses asexuales,homoit0002893,"Asexual Afro-Canadian people||
Asexual Afro-Canadians","Afrocanadienses asexuales|| 
Afrocanadienses ace|| 
Personas ace afrocanadienses|| 
Personas afrocanadienses asexuales",Asexual people of African descent born in Canada or asexual people born in African countries who live in or have a strong connection to Canada. Use for individuals who self-identify as Afro-Canadian.,Personas asexuales de ascendencia africana nacidas en Canadá o personas asexuales nacidas en países africanos que viven en Canadá o tienen una conexión fuerte con Canadá. Utilícese para personas que se autoidentifiquen como afrocanadienses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","--> In altLabel ES, I'm not sure that ""ace"" is popular in Spanish."
Afro-Canadian bisexual people,Personas bisexuales afrocanadienses,homoit0000124,"Bisexual Afro-Canadian people||
Bisexual Afro-Canadians","Afrocanadienses bisexuales|| 
Bisexuales afrocanadienses",Bisexual people of African descent born in Canada or bisexual people born in African countries who live in or have a strong connection to Canada. Use for individuals who self-identify as Afro-Canadian.,Personas bisexuales de ascendencia africana nacidas en Canadá o personas bisexuales nacidas en países africanos que viven o tienen una conexión fuerte con Canadá. Utilícese para  personas que se autoidentifiquen como afrocanadienses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).",
Afro-Canadian gay men,Hombres gay afrocanadienses,homoit0000464,"Gay Afro-Canadian people||
Gay Afro-Canadians",Afrocanadienses gay,Gay men of African descent born in Canada or gay men born in African countries who live in or have a strong connection to Canada. Use for individuals who self-identify as Afro-Canadian.,Hombres gay de ascendencia africana nacidos en Canadá u hombres gay nacidos en países africanos que viven o tienen una conexión fuerte con Canadá. Utilícese para personas que se autoidentifiquen como afrocanadienses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","--> Use ""gays"" [Spell] in SN, prefLabel, and altLabel ES. 

--> I'd drop altLabel ES ""personas afrocanadienses gay"", because ""personas"" is gender neutral noun and the English original term is ""gay men"", that is, it refers only to men."
Afro-Canadian intersex people,Personas intersexuales afrocanadienses,homoit0002957,"Intersex Afro-Canadian people||
Intersex Afro-Canadians","Afrocanadienses intersex|| 
Intersex afrocanadienses|| 
Personas intersex afrocanadienses",Intersex people of African descent born in Canada or intersex people born in African countries who live in or have a strong connection to Canada. Use for individuals who self-identify as Afro-Canadian.,Personas intersexuales de ascendencia africana nacidas en Canadá o personas intersex nacidas en países africanos que viven o tienen una conexión fuerte con Canadá. Utilícese para personas que se autoidentifican como afrocanadienses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).","--> In SN, prefLabel and altLabels ES, I prefer ""intersexuales"" over ""intersex""."
Afro-Canadian lesbians,Lesbianas afrocanadienses,homoit0000715,Lesbian Afro-Canadians,Afrocanadienses lesbianas,Lesbians of African descent born in Canada or lesbians born in African countries who live in or have a strong connection to Canada. Use for individuals who self-identify as Afro-Canadian.,Lesbianas de ascendencia africana nacidas en Canadá o lesbianas nacidas en países africanos que viven o tienen una conexión fuerte con Canadá. Utilícese para personas que se identifiquen como afrocanadienses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).",
Afro-Canadian LGBTQ+ people,Personas LGBTQ+ afrocanadienses,homoit0000016,"Afro-Canadian people (LGBTQ)||
Afro-Canadians (LGBTQ)||
LGBTQ+ Afro-Canadian people||
LGBTQ+ Afro-Canadians","Afrocanadienses LGBTQ+|| 
Personas afrocanadienses LGBTQ+|| 
Afrocanadienses (LGBTQ)|| 
Afrocanadienses LGBTQ+",LGBTQ+ people of African descent born in Canada or LGBTQ+ people born in African countries who live in or have a strong connection to Canada; use for individuals who self-identity as Afro-Canadian.,Personas LGBTQ+ de ascendencia africana nacidas en Canadá o personas LGBTQ+ nacidas en países africanos que viven o tienen una conexión fuerte con Canadá. Utilícese para personas que se identifiquen como afrocanadienses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).",
Afro-Canadian queer people,Personas queer afrocanadienses ,homoit0001152,"Queer Afro-Canadian people||
Queer Afro-Canadians","Personas afrocanadienses queer|| 
Afrocanadienses queer",Queer people of African descent born in Canada or queer people born in African countries who live in or have a strong connection to Canada. Use for individuals who self-identify as Afro-Canadian.,Personas queer de ascendencia africana nacidas en Canadá o personas queer nacidas en países africanos que viven o tienen una conexión fuerte con Canadá. Utilícese para personas que se identifiquen como afrocanadienses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).",
Afro-Canadian transgender people,Personas transgénero afrocanadienses,homoit0001385,"Transgender Afro-Canadian people||
Transgender Afro-Canadians","Personas afrocanadienses transgénero|| 
Afrocanadienses transgénero ",Transgender people of African descent born in Canada or transgender people born in African countries who live in or have a strong connection to Canada. Use for individuals who self-identify as Afro-Canadian.,Personas transgénero de ascendencia africana nacidas en Canadá o personas transgénero nacidas en países africanos que viven o tienen una conexión fuerte con Canadá. Utilícese para personas que se autoidentifiquen como afrocanadienses.,,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).",
